v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
0.044448374,0.039009931,0.01777935,0.016192261,0.01777935,0.0098376793,0.01777935,0.010096186
0.13332933,0.11149056,0.053338049,0.047179768,0.053338049,0.028630348,0.053338049,0.029372336
0.31110704,0.23865557,0.12445545,0.1057189,0.12445545,0.064202382,0.12445545,0.065865034
0.66666246,0.43463636,0.26667446,0.21022678,0.26667446,0.12821456,0.26667446,0.13152466
1.2222119,0.61768917,0.55111247,0.3755719,0.55111247,0.23295785,0.55111247,0.2386301
1.7777613,0.68552033,1.1066619,0.55635668,1.1066619,0.37411154,1.1066619,0.3787084
2.3333107,0.7161108,1.6622113,0.6101449,1.6622113,0.45777676,1.6622113,0.44693024
2.8888601,0.7371221,2.2177607,0.63777817,2.2177607,0.49931261,2.2177607,0.47680567
3.4444095,0.75141414,2.7733101,0.65923969,2.7733101,0.52312064,2.7733101,0.49743344
3.9999589,0.76136711,3.3288595,0.67737947,3.3288595,0.541081,3.3288595,0.51384109
4.5555084,0.76883071,3.884409,0.69349711,3.884409,0.55578315,3.884409,0.52755945
5.1110578,0.77486751,4.4399584,0.70808239,4.4399584,0.56829282,4.4399584,0.5392442
5.6666072,0.77996128,4.9955078,0.72144637,4.9955078,0.57909194,4.9955078,0.54936234
6.2221566,0.78435873,5.5510572,0.73379369,5.5510572,0.5885072,5.5510572,0.55824464
6.777706,0.78820577,6.1066066,0.74526986,6.1066066,0.59677155,6.1066066,0.56612576
7.3332554,0.79159322,6.662156,0.75596686,6.662156,0.60406093,6.662156,0.5731694
7.8888049,0.79457768,7.2177055,0.7658898,7.2177055,0.61051368,7.2177055,0.57948836
8.4443543,0.79719699,7.7732549,0.77499368,7.7732549,0.61624321,7.7732549,0.58516865
8.9999037,0.79947964,8.3288043,0.7833627,8.3288043,0.62134607,8.3288043,0.59029223
9.5554531,0.80144913,8.8843537,0.79103071,8.8843537,0.6259071,8.8843537,0.59492712
10,0.80280231,9.4399031,0.79784575,9.4399031,0.63000219,9.4399031,0.59912375
-,-,10,0.80380111,10,0.63372818,10,0.60295623

