trap_density X,trap_density Y,trapped_charge_density_0.5000 X,trapped_charge_density_0.5000 Y,trapped_charge_density_0.9500 X,trapped_charge_density_0.9500 Y,trapped_charge_density_0.9840 X,trapped_charge_density_0.9840 Y,trapped_charge_density_1.1840 X,trapped_charge_density_1.1840 Y,trapped_charge_density_1.3340 X,trapped_charge_density_1.3340 Y,trapped_charge_density_1.8340 X,trapped_charge_density_1.8340 Y
3.6423427,3.1743162e+13,3.6423427,3.1743162e+13,3.6423427,0,3.6423427,3.1743162e+13,3.6423427,3.1743162e+13,3.6423427,3.1743162e+13,3.6423427,3.1743162e+13
3.2083758,3.8261982e+13,3.2083758,3.8261975e+13,3.2083758,0,3.2083758,3.8261975e+13,3.2083758,3.8261975e+13,3.2083758,3.8261969e+13,3.2083758,3.8261957e+13
2.8037335,4.8307525e+13,2.8037335,2.3115442e+13,2.8037335,0,2.8037335,2.3297899e+13,2.8037335,2.3483563e+13,2.8037335,1.7687349e+13,2.8037335,2.6019772e+13
2.4403037,5.9253384e+13,2.4403037,42618122,2.4403037,0,2.4403037,68375816,2.4403037,59340374,2.4403037,41925491,2.4403037,61694745
2.1623427,6.8032235e+13,2.1623427,1047.2664,2.1623427,0,2.1623427,1680.2185,2.1623427,1458.1875,2.1623427,1030.2466,2.1623427,1516.0419
1.9863448,6.3104575e+13,1.9863448,1.0734142,1.9863448,0,1.9863448,1.7221698,1.9863448,1.4945951,1.9863448,1.0559695,1.9863448,1.553894
1.75623,5.5441621e+13,1.75623,0.00012846473,1.75623,0,1.75623,0.0002061069,1.75623,0.00017887108,1.75623,0.00012637698,1.75623,0.00018596789
1.5000206,4.7828686e+13,1.5000206,5.5018273e-09,1.5000206,0,1.5000206,8.8270495e-09,1.5000206,7.6606068e-09,1.5000206,5.4124139e-09,1.5000206,7.9645456e-09
1.2252435,4.0795167e+13,1.2252435,1.1359918e-13,1.2252435,0,1.2252435,1.8225683e-13,1.2252435,1.5817276e-13,1.2252435,1.1175358e-13,1.2252435,1.6444834e-13
0.93577878,3.4492131e+13,0.93577878,1.3207749e-18,0.93577878,0,0.93577878,2.1270028e-18,0.93577878,1.9259495e-18,0.93577878,1.7696904e-18,0.93577878,1.9939889e-18
0.63404404,2.8952125e+13,0.63404404,1.0909487e-23,0.63404404,0,0.63404404,1.350496e-23,0.63404404,1.3239586e-23,0.63404404,1.9240066e-23,0.63404404,6.1436176e-23
0.32170807,2.4150843e+13,0.32170807,4.9881631e-29,0.32170807,0,0.32170807,6.3721102e-29,0.32170807,7.6234631e-29,0.32170807,1.176834e-26,0.32170807,2.76936e-28
0,2.0996403e+13,0,6.210543e-35,0,0,0,2.6506039e-34,0,1.6258571e-33,0,9.0395743e-32,0,2.8773096e-34

