trap_density X,trap_density Y,trapped_charge_density_0.5000 X,trapped_charge_density_0.5000 Y,trapped_charge_density_0.9500 X,trapped_charge_density_0.9500 Y,trapped_charge_density_0.9840 X,trapped_charge_density_0.9840 Y,trapped_charge_density_1.1840 X,trapped_charge_density_1.1840 Y,trapped_charge_density_1.3340 X,trapped_charge_density_1.3340 Y,trapped_charge_density_1.8340 X,trapped_charge_density_1.8340 Y
3.6423427,5.10987e+13,3.6423427,5.10987e+13,3.6423427,0,3.6423427,5.10987e+13,3.6423427,5.10987e+13,3.6423427,5.10987e+13,3.6423427,5.10987e+13
3.4623427,5.3796003e+13,3.4623427,5.3796002e+13,3.4623427,0,3.4623427,5.3796003e+13,3.4623427,5.3796003e+13,3.4623427,5.3796003e+13,3.4623427,5.3796003e+13
3.2704248,4.904147e+13,3.2704248,4.9039689e+13,3.2704248,0,3.2704248,4.904133e+13,3.2704248,4.9040946e+13,3.2704248,4.9040804e+13,3.2704248,4.9040731e+13
3.0194948,4.2585669e+13,3.0194948,2.6678955e+13,3.0194948,0,3.0194948,4.0681757e+13,3.0194948,3.6236583e+13,3.0194948,3.4819885e+13,3.0194948,3.4137063e+13
2.7401098,3.625103e+13,2.7401098,1.2314923e+09,2.7401098,0,2.7401098,1.5682779e+10,2.7401098,4.1902889e+09,2.7401098,3.2920064e+09,2.7401098,2.9666321e+09
2.4404777,3.0478771e+13,2.4404777,9583.4883,2.4404777,0,2.4404777,122092.25,2.4404777,32611.541,2.4404777,25619.89,2.4404777,23087.473
2.1248292,2.5381673e+13,2.1248292,0.03975432,2.1248292,0,2.1248292,0.50646427,2.1248292,0.13527951,2.1248292,0.10627668,2.1248292,0.095771679
1.7958008,2.0970395e+13,1.7958008,9.7507238e-08,1.7958008,0,1.7958008,1.2422281e-06,1.7958008,3.3180625e-07,1.7958008,2.6066967e-07,1.7958008,2.3490358e-07
1.4552123,1.7208341e+13,1.4552123,1.5189133e-13,1.4552123,0,1.4552123,1.9350735e-12,1.4552123,5.1686924e-13,1.4552123,4.0605665e-13,1.4552123,3.6591967e-13
1.1044039,1.403679e+13,1.1044039,1.5839422e-19,1.1044039,0,1.1044039,2.0179194e-18,1.1044039,5.3899786e-19,1.1044039,4.2344108e-19,1.1044039,3.8158572e-19
0.74440865,1.1388348e+13,0.74440865,1.1515337e-25,0.74440865,0,0.74440865,1.4670372e-24,0.74440865,3.9185407e-25,0.74440865,3.0784371e-25,0.74440865,2.7741466e-25
0.37604964,9.1945369e+12,0.37604964,6.1074435e-32,0.37604964,0,0.37604964,7.8008641e-31,0.37604964,2.1885802e-31,0.37604964,1.6161228e-31,0.37604964,1.4500477e-31
0,7.8013723e+12,0,1.0411131e-37,0,0,0,2.0082655e-36,0,4.1889629e-36,0,1.492532e-37,0,4.2926442e-38

